Greenland;America;2166086;56;2078;
Grenada;America;345;108;954;
Guatemala;America;108889;16914;63794;
Guinea-Bissau;Africa;36125;1861;978;
Guinea;Africa;245857;12717;8875;
Guyana;America;214969;778;3282;
Haiti;America;27750;10981;8501;
Honduras;America;112492;9265;20365;
Hungary;Europe;93024;9722;121715;
Iceland;Europe;103000;335;16780;
India;Asia;3287263;1339180;2116239;
Indonesia;Asia;1910931;263991;861934;
Iran;Asia;1628750;81163;398563;
Iraq;Asia;435052;38275;164234;
Ireland;Europe;69797;4762;283716;
Israel;Asia;22072;8322;299413;
Italy;Europe;302073;59360;1821580;
Jamaica;America;10990;2890;14262;
Japan;Asia;377930;127484;4383076;
Jordan;Asia;89318;9702;37517;
Kazakhstan;Asia;2724902;18204;181754;
Kenya;Africa;591958;49700;63399;
Kiribati;Oceania;726;116;162;
Kuwait;Asia;17818;4136;114054;
Kyrgyzstan;Asia;199949;6045;6572;
Laos;Asia;236800;6858;12585;
Latvia;Europe;64573;1950;27004;
Lebanon;Asia;10452;6082;50149;
Lesotho;Africa;30355;2233;2008;
Liberia;Africa;111369;4732;2053;
Libya;Africa;1676198;6375;34457;
Liechtenstein;Europe;160;38;6361;
Lithuania;Europe;65286;2890;41402;
Luxembourg;Europe;2586;584;56802;
Madagascar;Africa;587295;25571;9739;
Malawi;Africa;118484;18622;6420;
Malaysia;Asia;330323;31624;296284;
Maldives;Asia;300;436;3435;
Mali;Africa;1240192;18542;13100;
Malta;Europe;315;431;9747;
Marshall Islands;Oceania;181;53;183;
Mauritania;Africa;1030700;4420;5023;
Mauritius;Africa;1969;1265;11511;
Mexico;America;1964375;129163;1140724;
Federated States of Micronesia;Oceania;702;106;315;
Monaco;Europe;2;39;6258;
Mongolia;Asia;1564116;3076;11758;
Montenegro;Europe;13812;629;4020;
Montserrat;America;103;5;59;
Morocco;Africa;446550;35740;100359;
Mozambique;Africa;799380;29669;14806;
Myanmar;Asia;676577;53371;62601;
Namibia;Africa;824116;2534;11491;
Nauru;Oceania;21;11;189;
Nepal;Asia;147181;29305;20658;
Netherlands;Europe;41542;17036;750318;
New Caledonia;Oceania;18575;276;8937;
New Zealand;Oceania;268107;4706;173417;
Nicaragua;America;130373;6218;12693;
Niger;Africa;1267000;21477;7143;
Nigeria;Africa;923768;190886;494583;
Norway;Europe;386194;5305;386578;
Oman;Asia;309500;4636;69832;
Pakistan;Asia;796095;197016;266458;
Palau;Oceania;459;22;258;
Panama;America;75320;4099;52132;
Papua New Guinea;Oceania;462840;8251;21315;
Paraguay;America;406752;6811;27714;
Peru;America;1285216;32166;190428;
Philippines;Asia;300000;104918;292449;
Poland;Europe;312679;38171;477066;
Portugal;Europe;92226;10330;199122;
Puerto Rico;America;8868;3663;102906;
Qatar;Asia;11607;2639;164641;
Republic of Korea;Asia;100284;50982;1377873;
Republic of Moldova;Europe;33846;4051;6475;
Romania;Europe;238391;19679;177956;
Russian Federation;Europe;17098246;143990;1326016;
Rwanda;Africa;26338;12208;8096;
Saint Kitts and Nevis;America;261;55;876;
Saint Lucia;America;539;179;1450;
Saint Vincent and the Grenadines;America;389;110;738;
Samoa;Oceania;2842;196;774;
San Marino;Europe;61;33;1565;
Sao Tome and Principe;Africa;964;204;334;
Saudi Arabia;Asia;2206714;32938;653219;
Senegal;Africa;196712;15851;13633;
Serbia;Europe;88499;8791;37160;
Seychelles;Africa;457;95;1363;
Sierra Leone;Africa;72300;7557;4483;
Singapore;Asia;719;5709;292734;
Sint Maarten;America;34;40;1094;
Slovakia;Europe;49035;5448;87268;
Slovenia;Europe;20273;2080;42777;
Solomon Islands;Oceania;28896;611;1075;
Somalia;Africa;637657;14742;1559;
South Africa;Africa;1221037;56717;314571;
Sudan;Africa;658841;12576;13167;
Spain;Europe;505944;46354;1192955;
Sri Lanka;Asia;65610;20877;82316;
State of Palestine;Asia;6020;4921;12677;
Suriname;America;163820;563;4879;
Swaziland;Africa;17363;1367;4133;
Sweden;Europe;438574;9911;495694;
Switzerland;Europe;41291;8476;670790;
Syrian Arab Republic;Asia;185180;18270;28393;
Tajikistan;Asia;142600;8921;7853;
Thailand;Asia;513120;69038;395168;
Macedonia;Europe;25713;2083;10052;
Timor-Leste;Asia;14919;1296;2873;
Togo;Africa;56785;7798;4086;
Tonga;Oceania;747;108;402;
Trinidad and Tobago;America;5127;1369;25927;
Tunisia;Africa;163610;11532;41199;
Turkey;Asia;783562;80745;717888;
Turkmenistan;Asia;488100;5758;37597;
Turks and Caicos Islands;America;948;35;863;
Tuvalu;Oceania;26;11;33;
Uganda;Africa;241550;42863;25282;
Ukraine;Europe;603500;44223;90615;
United Arab Emirates;Asia;83600;9400;370296;
United Kingdom;Europe;242495;66182;2858003;
United Republic of Tanzania;Africa;947303;57310;45628;
United States of America;America;9833517;324460;18036648;
Uruguay;America;173626;3457;53442;
Uzbekistan;Asia;448969;31911;69004;
Vanuatu;Oceania;12189;276;737;
Venezuela;America;912050;31977;344331;
Viet Nam;Asia;330967;95541;193241;
Yemen;Asia;527968;28250;29688;
Zambia;Africa;752612;17094;21255;
Zimbabwe;Africa;390757;16530;13893
